#ZVView-data-copy:   2-Dec-2019 09:34:42
#=======================================
#
#name:   50-SN-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  34401
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     0.0083609            0       4.8804       0.6582  # 1998,J.A.Harvey          ## 14194002  #dY:13.5%
      0.008363            0       4.7176      0.72346  # 1998,J.A.Harvey          ## 14194002  #dY:15.3%
     0.0083651            0       4.9269       1.1223  # 1998,J.A.Harvey          ## 14194002  #dY:22.8%
     0.0083672            0       8.4053       1.6428  # 1998,J.A.Harvey          ## 14194002  #dY:19.5%
     0.0083693            0       5.0279       1.1582  # 1998,J.A.Harvey          ## 14194002  #dY:23.0%
     0.0083714            0       6.6069      0.91568  # 1998,J.A.Harvey          ## 14194002  #dY:13.9%
     0.0083735            0       5.4577      0.77289  # 1998,J.A.Harvey          ## 14194002  #dY:14.2%
     0.0083756            0       5.4773      0.79432  # 1998,J.A.Harvey          ## 14194002  #dY:14.5%
     0.0083777            0       5.3279      0.76903  # 1998,J.A.Harvey          ## 14194002  #dY:14.4%
     0.0083799            0       4.0812      0.74456  # 1998,J.A.Harvey          ## 14194002  #dY:18.2%
      0.008382            0       2.5534      0.78456  # 1998,J.A.Harvey          ## 14194002  #dY:30.7%
     0.0083841            0       4.6154      0.74994  # 1998,J.A.Harvey          ## 14194002  #dY:16.2%
     0.0083862            0        3.999      0.74307  # 1998,J.A.Harvey          ## 14194002  #dY:18.6%
     0.0083883            0       4.8562      0.70439  # 1998,J.A.Harvey          ## 14194002  #dY:14.5%
     0.0083904            0       5.5219      0.76764  # 1998,J.A.Harvey          ## 14194002  #dY:13.9%
     0.0083925            0       5.9731       0.8592  # 1998,J.A.Harvey          ## 14194002  #dY:14.4%
     0.0083946            0       4.0568      0.82343  # 1998,J.A.Harvey          ## 14194002  #dY:20.3%
     0.0083967            0       4.8018      0.71547  # 1998,J.A.Harvey          ## 14194002  #dY:14.9%
     0.0083988            0       2.6837       0.6538  # 1998,J.A.Harvey          ## 14194002  #dY:24.4%
      0.008401            0       4.4264      0.64026  # 1998,J.A.Harvey          ## 14194002  #dY:14.5%
     0.0084031            0       4.3835      0.63961  # 1998,J.A.Harvey          ## 14194002  #dY:14.6%
     0.0084052            0       4.7251      0.66401  # 1998,J.A.Harvey          ## 14194002  #dY:14.1%
     0.0084073            0       2.5774       0.7697  # 1998,J.A.Harvey          ## 14194002  #dY:29.9%
     0.0084094            0       5.3558       1.4075  # 1998,J.A.Harvey          ## 14194002  #dY:26.3%
     0.0084115            0       3.6215       1.1527  # 1998,J.A.Harvey          ## 14194002  #dY:31.8%
     0.0084137            0       3.7796      0.81105  # 1998,J.A.Harvey          ## 14194002  #dY:21.5%
     0.0084158            0       6.8365      0.74182  # 1998,J.A.Harvey          ## 14194002  #dY:10.9%
     0.0084179            0        4.288      0.92823  # 1998,J.A.Harvey          ## 14194002  #dY:21.6%
       0.00842            0       7.4158       1.3613  # 1998,J.A.Harvey          ## 14194002  #dY:18.4%
     0.0084221            0       5.8038       1.0742  # 1998,J.A.Harvey          ## 14194002  #dY:18.5%
     0.0084243            0        5.227      0.83167  # 1998,J.A.Harvey          ## 14194002  #dY:15.9%
     0.0084264            0       4.9428      0.83597  # 1998,J.A.Harvey          ## 14194002  #dY:16.9%
     0.0084285            0       1.6707      0.88665  # 1998,J.A.Harvey          ## 14194002  #dY:53.1%
     0.0084306            0       4.9914      0.81126  # 1998,J.A.Harvey          ## 14194002  #dY:16.3%
     0.0084328            0       3.8783      0.72399  # 1998,J.A.Harvey          ## 14194002  #dY:18.7%
     0.0084349            0       4.8609      0.72589  # 1998,J.A.Harvey          ## 14194002  #dY:14.9%
      0.008437            0        5.799       0.7522  # 1998,J.A.Harvey          ## 14194002  #dY:13.0%
     0.0084392            0       6.9691      0.74286  # 1998,J.A.Harvey          ## 14194002  #dY:10.7%
     0.0084413            0       7.3558      0.72948  # 1998,J.A.Harvey          ## 14194002  #dY:9.9%
     0.0084434            0       5.7134      0.73528  # 1998,J.A.Harvey          ## 14194002  #dY:12.9%
     0.0084455            0       7.6781      0.71789  # 1998,J.A.Harvey          ## 14194002  #dY:9.3%
     0.0084477            0        3.657      0.70343  # 1998,J.A.Harvey          ## 14194002  #dY:19.2%
     0.0084498            0       4.3839      0.69038  # 1998,J.A.Harvey          ## 14194002  #dY:15.7%
     0.0084551            0       4.8251      0.33953  # 1998,J.A.Harvey          ## 14194002  #dY:7.0%
     0.0084637            0       4.6256       0.3374  # 1998,J.A.Harvey          ## 14194002  #dY:7.3%
     0.0084723            0       4.0269      0.34063  # 1998,J.A.Harvey          ## 14194002  #dY:8.5%
     0.0084808            0       4.7967      0.32891  # 1998,J.A.Harvey          ## 14194002  #dY:6.9%
     0.0084894            0       4.1624      0.31486  # 1998,J.A.Harvey          ## 14194002  #dY:7.6%
      0.008498            0       4.5777      0.30325  # 1998,J.A.Harvey          ## 14194002  #dY:6.6%
     0.0085034            0       4.4149      0.97149  # 1998,J.A.Harvey          ## 14194002  #dY:22.0%
     0.0085055            0     -0.39354       1.4919  # 1998,J.A.Harvey          ## 14194002  #dY:379.1%
     0.0085077            0       3.9492       1.0423  # 1998,J.A.Harvey          ## 14194002  #dY:26.4%
     0.0085099            0       4.0298      0.83174  # 1998,J.A.Harvey          ## 14194002  #dY:20.6%
      0.008512            0       4.1023      0.73355  # 1998,J.A.Harvey          ## 14194002  #dY:17.9%
     0.0085142            0       4.4768      0.67174  # 1998,J.A.Harvey          ## 14194002  #dY:15.0%
     0.0085163            0       4.9516      0.67486  # 1998,J.A.Harvey          ## 14194002  #dY:13.6%
     0.0085185            0        4.437      0.69754  # 1998,J.A.Harvey          ## 14194002  #dY:15.7%
     0.0085206            0       5.7819      0.70482  # 1998,J.A.Harvey          ## 14194002  #dY:12.2%
     0.0085228            0       8.0915      0.72383  # 1998,J.A.Harvey          ## 14194002  #dY:8.9%
      0.008525            0       7.3742      0.66587  # 1998,J.A.Harvey          ## 14194002  #dY:9.0%
     0.0085271            0       6.1937      0.60679  # 1998,J.A.Harvey          ## 14194002  #dY:9.8%
     0.0085293            0       3.8136      0.58987  # 1998,J.A.Harvey          ## 14194002  #dY:15.5%
     0.0085315            0       5.6496      0.57625  # 1998,J.A.Harvey          ## 14194002  #dY:10.2%
     0.0085336            0       5.6064      0.53626  # 1998,J.A.Harvey          ## 14194002  #dY:9.6%
     0.0085358            0       5.0827      0.57331  # 1998,J.A.Harvey          ## 14194002  #dY:11.3%
     0.0085379            0       2.3656      0.67793  # 1998,J.A.Harvey          ## 14194002  #dY:28.7%
     0.0085401            0      -1.6594       1.6616  # 1998,J.A.Harvey          ## 14194002  #dY:100.1%
     0.0085423            0       18.939       3.1572  # 1998,J.A.Harvey          ## 14194002  #dY:16.7%
     0.0085445            0       7.7129       1.3285  # 1998,J.A.Harvey          ## 14194002  #dY:17.2%
     0.0085466            0       14.115       1.0953  # 1998,J.A.Harvey          ## 14194002  #dY:7.8%
     0.0085488            0       10.806       0.9314  # 1998,J.A.Harvey          ## 14194002  #dY:8.6%
      0.008551            0       6.2877      0.76232  # 1998,J.A.Harvey          ## 14194002  #dY:12.1%
     0.0085531            0        6.058      0.71447  # 1998,J.A.Harvey          ## 14194002  #dY:11.8%
     0.0085553            0       4.6509       0.6826  # 1998,J.A.Harvey          ## 14194002  #dY:14.7%
     0.0085575            0       5.4271      0.67933  # 1998,J.A.Harvey          ## 14194002  #dY:12.5%
     0.0085597            0       4.6637      0.67891  # 1998,J.A.Harvey          ## 14194002  #dY:14.6%
     0.0085618            0       4.4872      0.69148  # 1998,J.A.Harvey          ## 14194002  #dY:15.4%
     0.0085684            0       5.3922      0.37075  # 1998,J.A.Harvey          ## 14194002  #dY:6.9%
     0.0085793            0       4.3404      0.30261  # 1998,J.A.Harvey          ## 14194002  #dY:7.0%
     0.0085902            0       4.6173      0.30558  # 1998,J.A.Harvey          ## 14194002  #dY:6.6%
     0.0085967            0       4.3085      0.61177  # 1998,J.A.Harvey          ## 14194002  #dY:14.2%
     0.0085989            0       3.8192      0.64396  # 1998,J.A.Harvey          ## 14194002  #dY:16.9%
     0.0086011            0       3.4896      0.69429  # 1998,J.A.Harvey          ## 14194002  #dY:19.9%
     0.0086033            0       4.8958      0.83855  # 1998,J.A.Harvey          ## 14194002  #dY:17.1%
     0.0086055            0        3.701      0.73946  # 1998,J.A.Harvey          ## 14194002  #dY:20.0%
     0.0086077            0       4.3547      0.64303  # 1998,J.A.Harvey          ## 14194002  #dY:14.8%
     0.0086099            0       4.9029      0.63307  # 1998,J.A.Harvey          ## 14194002  #dY:12.9%
     0.0086121            0       5.5456      0.63749  # 1998,J.A.Harvey          ## 14194002  #dY:11.5%
     0.0086143            0       6.7175      0.63113  # 1998,J.A.Harvey          ## 14194002  #dY:9.4%
     0.0086165            0       6.2866      0.64711  # 1998,J.A.Harvey          ## 14194002  #dY:10.3%
     0.0086187            0       6.8915      0.77862  # 1998,J.A.Harvey          ## 14194002  #dY:11.3%
     0.0086209            0       10.565       1.1487  # 1998,J.A.Harvey          ## 14194002  #dY:10.9%
     0.0086231            0       17.173       1.4636  # 1998,J.A.Harvey          ## 14194002  #dY:8.5%
