EN          DATA        ERR-S       
MEV         B           B           
6.3200e+01  5.0390e+00  6.5360e-03  
6.3840e+01  5.0510e+00  6.5400e-03  
6.4480e+01  5.0660e+00  6.5530e-03  
6.5130e+01  5.0800e+00  6.5670e-03  
6.5780e+01  5.0910e+00  6.5660e-03  
6.6440e+01  5.0950e+00  6.5680e-03  
6.7110e+01  5.1090e+00  6.5730e-03  
6.7780e+01  5.1340e+00  6.5920e-03  
6.8460e+01  5.1470e+00  6.5980e-03  
6.9150e+01  5.1620e+00  6.6130e-03  
6.9850e+01  5.1750e+00  6.6140e-03  
7.0550e+01  5.1840e+00  6.6240e-03  
7.1260e+01  5.1940e+00  6.6310e-03  
7.1970e+01  5.2070e+00  6.6430e-03  
7.2700e+01  5.2160e+00  6.6450e-03  
7.3430e+01  5.2260e+00  6.6560e-03  
7.4170e+01  5.2320e+00  6.6540e-03  
7.4910e+01  5.2380e+00  6.6550e-03  
7.5670e+01  5.2460e+00  6.6520e-03  
7.6430e+01  5.2540e+00  6.6570e-03  
7.7190e+01  5.2620e+00  6.6560e-03  
7.7970e+01  5.2710e+00  6.6620e-03  
7.8750e+01  5.2850e+00  6.6680e-03  
7.9540e+01  5.2940e+00  6.6740e-03  
8.0340e+01  5.2910e+00  6.6710e-03  
8.1150e+01  5.2870e+00  6.6590e-03  
8.1970e+01  5.2860e+00  6.6540e-03  
8.2790e+01  5.2920e+00  6.6630e-03  
8.3620e+01  5.2930e+00  6.6570e-03  
8.4460e+01  5.2940e+00  6.6440e-03  
8.5310e+01  5.2920e+00  6.6400e-03  
8.6170e+01  5.2880e+00  6.6330e-03  
8.7040e+01  5.2910e+00  6.6250e-03  
8.7910e+01  5.2870e+00  6.6160e-03  
8.8790e+01  5.2790e+00  6.6090e-03  
8.9690e+01  5.2690e+00  6.5870e-03  
9.0590e+01  5.2620e+00  6.5670e-03  
9.1500e+01  5.2520e+00  6.5540e-03  
9.2420e+01  5.2420e+00  6.5380e-03  
9.3350e+01  5.2380e+00  6.5240e-03  
9.4280e+01  5.2270e+00  6.5100e-03  
9.5230e+01  5.2150e+00  6.4950e-03  
9.6190e+01  5.2060e+00  6.4780e-03  
9.7160e+01  5.1880e+00  6.4550e-03  
9.8130e+01  5.1740e+00  6.4290e-03  
9.9120e+01  5.1590e+00  6.4120e-03  
1.0010e+02  5.1370e+00  6.3770e-03  
1.0110e+02  5.1170e+00  6.3540e-03  
1.0210e+02  5.1030e+00  6.3320e-03  
1.0320e+02  5.0850e+00  6.3150e-03  
1.0420e+02  5.0580e+00  6.2830e-03  
1.0520e+02  5.0380e+00  6.2400e-03  
1.0630e+02  5.0270e+00  6.2200e-03  
1.0740e+02  5.0050e+00  6.1950e-03  
1.0850e+02  4.9750e+00  6.1640e-03  
1.0950e+02  4.9550e+00  6.1430e-03  
1.1060e+02  4.9360e+00  6.1140e-03  
1.1180e+02  4.9090e+00  6.0780e-03  
1.1290e+02  4.8850e+00  6.0460e-03  
1.1400e+02  4.8600e+00  6.0200e-03  
1.1520e+02  4.8270e+00  5.9910e-03  
1.1630e+02  4.8070e+00  5.9630e-03  
1.1750e+02  4.7830e+00  5.9280e-03  
1.1870e+02  4.7490e+00  5.8870e-03  
1.1990e+02  4.7240e+00  5.8560e-03  
1.2110e+02  4.6930e+00  5.8290e-03  
1.2230e+02  4.6700e+00  5.8050e-03  
1.2350e+02  4.6390e+00  5.7660e-03  
1.2480e+02  4.6060e+00  5.7260e-03  
1.2600e+02  4.5760e+00  5.6990e-03  
1.2730e+02  4.5560e+00  5.6740e-03  
1.2860e+02  4.5260e+00  5.6420e-03  
1.2980e+02  4.4910e+00  5.6100e-03  
1.3110e+02  4.4630e+00  5.5850e-03  
1.3250e+02  4.4350e+00  5.5560e-03  
1.3380e+02  4.4050e+00  5.5260e-03  
1.3510e+02  4.3760e+00  5.4940e-03  
1.3650e+02  4.3450e+00  5.4630e-03  
1.3790e+02  4.3070e+00  5.4320e-03  
1.3930e+02  4.2830e+00  5.4110e-03  
1.4070e+02  4.2530e+00  5.3800e-03  
